Timestamp,Class Name,Confidence,Bounding Box
2024-11-18 17:05:32,person,66.89,[ 26 287 868 433]
2024-11-18 17:05:32,person,45.29,[1014  560  259  158]
2024-11-18 17:05:33,person,69.58,[ 32 287 867 433]
2024-11-18 17:05:33,person,68.35,[ 45 290 856 430]
2024-11-18 17:05:33,person,69.02,[ 33 291 874 429]
2024-11-18 17:05:33,person,69.62,[ 31 287 874 433]
2024-11-18 17:05:33,person,68.91,[ 40 285 866 435]
2024-11-18 17:05:33,person,67.45,[ 24 291 892 429]
2024-11-18 17:05:33,person,60.4,[ 17 282 886 438]
2024-11-18 17:05:33,person,65.1,[ 29 292 882 428]
2024-11-18 17:05:33,person,66.18,[ 31 290 883 430]
2024-11-18 17:05:33,person,66.15,[ 36 286 876 434]
2024-11-18 17:05:33,person,60.46,[ 40 294 873 426]
2024-11-18 17:05:33,cat,47.52,[ 33 283 877 437]
2024-11-18 17:05:33,person,59.81,[ 24 284 877 436]
2024-11-18 17:05:33,dog,50.2,[  8 288 901 429]
2024-11-18 17:05:33,person,60.21,[ 60 288 857 432]
2024-11-18 17:05:33,dog,48.26,[ 38 280 863 440]
2024-11-18 17:05:33,person,60.44,[ 31 281 877 438]
2024-11-18 17:05:33,dog,55.13,[  9 286 905 430]
2024-11-18 17:05:33,person,62.53,[ 70 296 840 424]
2024-11-18 17:05:34,person,64.32,[ 73 295 841 425]
2024-11-18 17:05:34,dog,46.06,[ 73 295 841 425]
2024-11-18 17:05:34,person,62.53,[ 94 296 818 424]
2024-11-18 17:05:34,dog,49.65,[ 94 296 818 424]
2024-11-18 17:05:34,chair,46.41,[733 538 163 180]
2024-11-18 17:05:34,person,61.44,[128 293 791 427]
2024-11-18 17:05:34,cat,51.53,[ 50 284 849 435]
2024-11-18 17:05:34,chair,46.09,[738 543 156 175]
2024-11-18 17:05:34,person,59.28,[106 295 800 425]
2024-11-18 17:05:34,cat,49.9,[ 34 288 861 432]
2024-11-18 17:05:34,chair,48.49,[730 543 163 175]
2024-11-18 17:05:34,refrigerator,47.84,[  5 284 245 422]
2024-11-18 17:05:34,person,62.55,[101 295 794 425]
2024-11-18 17:05:34,chair,46.04,[724 541 172 178]
2024-11-18 17:05:34,cat,61.8,[ 24 282 854 438]
2024-11-18 17:05:34,person,56.0,[ 24 282 854 438]
2024-11-18 17:05:34,chair,47.62,[737 540 158 178]
2024-11-18 17:05:34,dog,45.04,[ 59 292 828 428]
2024-11-18 17:05:34,cat,59.78,[ 38 292 852 428]
2024-11-18 17:05:34,person,53.58,[ 16 284 859 436]
2024-11-18 17:05:34,dog,51.48,[ 38 292 852 428]
2024-11-18 17:05:34,cat,60.71,[ 25 293 867 427]
2024-11-18 17:05:34,dog,53.57,[ 25 293 867 427]
2024-11-18 17:05:34,car,48.93,[253 416  66  59]
2024-11-18 17:05:34,person,48.24,[ 15 285 867 435]
2024-11-18 17:05:34,person,61.37,[ 27 283 870 437]
2024-11-18 17:05:34,car,61.08,[253 425  79  53]
2024-11-18 17:05:34,dog,60.27,[ 18 278 880 440]
2024-11-18 17:05:34,chair,45.23,[725 528 171 189]
2024-11-18 17:05:34,person,63.65,[ 22 282 871 438]
2024-11-18 17:05:34,car,60.98,[253 428  81  50]
2024-11-18 17:05:34,dog,60.56,[ 22 282 871 438]
2024-11-18 17:05:34,chair,46.47,[729 530 168 188]
2024-11-18 17:05:34,person,68.09,[ 28 281 870 439]
2024-11-18 17:05:34,car,62.76,[253 429  82  47]
2024-11-18 17:05:34,dog,51.17,[ 20 276 886 441]
2024-11-18 17:05:34,person,65.66,[ 10 273 936 447]
2024-11-18 17:05:34,car,63.14,[249 427  96  50]
2024-11-18 17:05:34,chair,47.02,[730 533 166 186]
2024-11-18 17:05:34,person,68.67,[ 31 279 867 441]
2024-11-18 17:05:34,car,63.16,[249 425  98  51]
2024-11-18 17:05:34,person,67.62,[  6 287 899 428]
2024-11-18 17:05:34,car,61.85,[249 426 100  51]
2024-11-18 17:05:34,person,69.91,[ 34 282 882 438]
2024-11-18 17:05:34,car,55.99,[250 426  96  50]
2024-11-18 17:05:35,person,70.88,[ 35 282 883 438]
2024-11-18 17:05:35,car,58.52,[250 427  96  48]
2024-11-18 17:05:35,person,68.8,[ 36 283 882 437]
2024-11-18 17:05:35,car,59.67,[250 426  96  50]
2024-11-18 17:05:35,person,69.87,[ 33 279 873 441]
2024-11-18 17:05:35,car,62.48,[250 428  95  49]
2024-11-18 17:05:35,person,68.99,[ 38 279 860 441]
2024-11-18 17:05:35,car,61.84,[250 425  94  55]
2024-11-18 17:05:35,chair,46.3,[731 531 164 188]
2024-11-18 17:05:35,person,67.75,[ 41 284 855 436]
2024-11-18 17:05:35,car,58.91,[251 426  89  53]
2024-11-18 17:05:35,chair,48.83,[733 531 164 188]
2024-11-18 17:05:35,person,67.65,[ 37 281 855 439]
2024-11-18 17:05:35,car,62.02,[253 425  86  52]
2024-11-18 17:05:35,chair,46.54,[731 533 166 186]
2024-11-18 17:05:35,person,68.71,[ 32 281 864 439]
2024-11-18 17:05:35,car,59.68,[253 426  84  51]
2024-11-18 17:05:35,chair,46.14,[729 534 169 185]
2024-11-18 17:05:35,person,67.6,[ 22 280 878 440]
2024-11-18 17:05:35,car,60.17,[253 426  81  51]
2024-11-18 17:05:35,chair,45.27,[729 535 167 184]
2024-11-18 17:05:35,person,68.83,[  9 275 945 444]
2024-11-18 17:05:35,car,66.14,[256 426  72  49]
2024-11-18 17:05:35,chair,45.95,[731 532 167 187]
2024-11-18 17:05:35,person,66.21,[  7 280 934 439]
2024-11-18 17:05:35,car,64.54,[257 425  71  51]
2024-11-18 17:05:35,chair,45.16,[732 531 166 187]
2024-11-18 17:05:35,person,68.42,[ 44 289 871 431]
2024-11-18 17:05:35,car,56.51,[256 423  72  54]
2024-11-18 17:05:35,chair,48.29,[730 531 167 187]
2024-11-18 17:05:35,person,68.98,[ 38 289 873 431]
2024-11-18 17:05:35,car,54.65,[256 423  70  54]
2024-11-18 17:05:35,chair,49.79,[725 525 168 193]
2024-11-18 17:05:35,person,70.09,[ 14 288 865 429]
2024-11-18 17:05:35,car,51.1,[251 419  68  60]
2024-11-18 17:05:35,chair,47.19,[720 519 173 199]
2024-11-18 17:05:36,person,70.09,[ 14 288 865 429]
2024-11-18 17:05:36,car,51.1,[251 419  68  60]
2024-11-18 17:05:36,chair,47.19,[720 519 173 199]
2024-11-18 17:05:36,person,71.73,[ 18 285 871 433]
2024-11-18 17:05:36,chair,46.86,[737 533 158 185]
2024-11-18 17:05:36,car,46.66,[249 420  66  58]
2024-11-18 17:05:36,person,70.64,[ 17 286 863 433]
2024-11-18 17:05:36,chair,49.38,[741 536 157 181]
2024-11-18 17:05:36,chair,46.92,[778 518 149 202]
2024-11-18 17:05:36,person,69.12,[ 16 285 865 433]
2024-11-18 17:05:36,chair,50.36,[746 539 151 178]
2024-11-18 17:05:36,chair,46.54,[780 519 146 201]
2024-11-18 17:05:36,person,73.38,[ 22 284 881 432]
2024-11-18 17:05:36,chair,49.14,[743 544 149 174]
2024-11-18 17:05:36,person,71.87,[ 17 287 880 432]
2024-11-18 17:05:36,chair,45.65,[738 543 155 175]
2024-11-18 17:05:36,person,71.23,[ 17 289 888 431]
2024-11-18 17:05:36,person,71.94,[ 19 287 884 432]
2024-11-18 17:05:36,person,72.25,[ 21 287 888 432]
2024-11-18 17:05:36,person,72.52,[ 24 286 884 432]
2024-11-18 17:05:36,person,73.84,[ 26 287 880 431]
2024-11-18 17:05:36,chair,47.2,[740 545 153 173]
2024-11-18 17:05:36,person,72.73,[ 26 287 886 432]
2024-11-18 17:05:36,person,73.64,[ 20 284 895 434]
2024-11-18 17:05:36,person,73.24,[ 20 287 904 430]
2024-11-18 17:05:37,person,72.07,[ 41 292 864 427]
2024-11-18 17:05:37,person,46.12,[1038  563  242  152]
2024-11-18 17:05:37,chair,45.48,[744 541 150 177]
2024-11-18 17:05:37,person,73.64,[ 23 285 880 433]
2024-11-18 17:05:37,chair,47.98,[745 543 150 174]
2024-11-18 17:05:37,person,72.05,[ 21 285 885 433]
2024-11-18 17:05:37,chair,47.84,[744 545 151 172]
2024-11-18 17:05:37,person,72.32,[ 17 284 897 434]
2024-11-18 17:05:37,person,71.96,[ 20 287 887 432]
2024-11-18 17:05:37,person,72.93,[ 19 286 886 433]
2024-11-18 17:05:37,chair,46.34,[742 545 148 174]
2024-11-18 17:05:37,person,73.42,[ 17 286 889 433]
2024-11-18 17:05:37,refrigerator,46.51,[  6 290 245 398]
2024-11-18 17:05:37,chair,46.21,[740 544 151 175]
2024-11-18 17:05:37,person,72.55,[ 18 286 885 433]
2024-11-18 17:05:37,chair,46.57,[740 544 150 175]
2024-11-18 17:05:37,person,73.55,[ 23 287 884 432]
2024-11-18 17:05:37,chair,46.05,[739 544 151 175]
2024-11-18 17:05:37,person,73.86,[ 19 285 880 434]
2024-11-18 17:05:37,chair,46.82,[733 536 159 183]
2024-11-18 17:05:37,refrigerator,45.96,[  7 293 247 404]
2024-11-18 17:05:37,person,74.13,[ 23 284 871 435]
2024-11-18 17:05:37,chair,45.16,[731 534 161 186]
2024-11-18 17:05:37,person,73.12,[ 18 283 876 437]
2024-11-18 17:05:37,chair,45.83,[736 536 157 183]
2024-11-18 17:05:37,person,71.89,[ 19 284 872 435]
2024-11-18 17:05:37,chair,48.09,[734 537 161 181]
2024-11-18 17:05:38,person,72.03,[ 22 284 864 436]
2024-11-18 17:05:38,chair,48.31,[732 536 162 182]
2024-11-18 17:05:38,person,45.2,[1037  561  243  156]
2024-11-18 17:05:38,person,72.78,[ 34 291 862 429]
2024-11-18 17:05:38,chair,52.64,[732 538 163 179]
2024-11-18 17:05:38,person,73.63,[ 19 282 878 437]
2024-11-18 17:05:38,chair,53.31,[737 537 159 180]
2024-11-18 17:05:38,person,72.33,[ 17 283 878 437]
2024-11-18 17:05:38,chair,52.04,[739 539 156 178]
2024-11-18 17:05:38,person,71.98,[ 24 287 870 433]
2024-11-18 17:05:38,chair,49.41,[743 538 150 180]
2024-11-18 17:05:38,person,71.56,[ 24 287 864 433]
2024-11-18 17:05:38,chair,50.03,[742 535 154 183]
2024-11-18 17:05:38,person,72.73,[ 24 288 867 432]
2024-11-18 17:05:38,chair,50.82,[736 535 158 183]
2024-11-18 17:05:38,person,73.89,[ 29 288 867 432]
2024-11-18 17:05:38,chair,51.36,[732 534 162 185]
2024-11-18 17:05:38,person,71.11,[ 15 283 869 436]
2024-11-18 17:05:38,chair,50.0,[732 530 163 189]
2024-11-18 17:05:38,person,72.34,[ 16 283 868 436]
2024-11-18 17:05:38,chair,51.8,[729 533 164 184]
2024-11-18 17:05:38,person,71.58,[ 21 282 862 438]
2024-11-18 17:05:38,chair,50.77,[727 519 166 199]
2024-11-18 17:05:38,person,70.34,[ 22 283 860 437]
2024-11-18 17:05:38,chair,52.93,[733 518 160 200]
2024-11-18 17:05:38,person,70.89,[ 21 282 867 438]
2024-11-18 17:05:38,chair,54.16,[734 518 158 199]
2024-11-18 17:05:38,person,70.94,[ 28 282 856 437]
2024-11-18 17:05:38,chair,52.67,[729 518 163 200]
2024-11-18 17:05:38,person,71.59,[ 46 288 842 432]
2024-11-18 17:05:38,chair,53.07,[730 522 162 196]
2024-11-18 17:05:39,person,69.59,[ 23 283 860 437]
2024-11-18 17:05:39,chair,53.32,[725 530 167 188]
2024-11-18 17:05:39,person,70.53,[ 37 288 853 432]
2024-11-18 17:05:39,chair,53.76,[728 531 163 187]
2024-11-18 17:05:39,person,70.16,[ 26 285 854 435]
2024-11-18 17:05:39,chair,54.94,[724 521 167 197]
2024-11-18 17:05:39,person,71.69,[ 27 283 857 437]
2024-11-18 17:05:39,chair,54.85,[730 530 160 188]
2024-11-18 17:05:39,person,70.87,[ 25 283 856 437]
2024-11-18 17:05:39,person,69.99,[ 25 281 857 438]
2024-11-18 17:05:40,person,69.43,[ 31 283 838 437]
2024-11-18 17:05:40,chair,61.69,[732 520 161 196]
2024-11-18 17:05:40,person,68.78,[ 36 283 836 437]
2024-11-18 17:05:40,chair,59.59,[729 520 164 196]
2024-11-18 17:05:40,person,70.43,[ 10 292 859 423]
2024-11-18 17:05:40,chair,56.75,[725 531 166 186]
2024-11-18 17:05:40,person,43.72,[1037  564  243  153]
2024-11-18 17:05:40,refrigerator,42.2,[  9 285 241 418]
2024-11-18 17:05:40,chair,41.27,[774 510 149 210]
2024-11-18 17:05:40,person,71.11,[ 25 285 850 435]
2024-11-18 17:05:40,chair,55.75,[724 520 168 197]
2024-11-18 17:05:40,refrigerator,43.26,[ 11 291 250 400]
2024-11-18 17:05:40,person,42.25,[1014  558  266  158]
2024-11-18 17:05:40,chair,40.18,[775 510 149 210]
2024-11-18 17:05:40,person,71.5,[ 31 285 846 435]
2024-11-18 17:05:40,chair,54.37,[726 530 165 188]
2024-11-18 17:05:40,person,41.28,[1039  563  241  154]
2024-11-18 17:05:40,refrigerator,40.99,[ 10 291 250 398]
2024-11-18 17:05:40,chair,39.1,[773 510 148 210]
2024-11-18 17:05:40,person,70.72,[ 12 291 864 423]
2024-11-18 17:05:40,chair,53.72,[729 533 163 185]
2024-11-18 17:05:40,refrigerator,42.38,[  9 292 249 401]
2024-11-18 17:05:40,person,40.64,[1040  562  240  154]
2024-11-18 17:05:40,chair,37.94,[776 512 145 208]
2024-11-18 17:05:40,chair,34.72,[495 310 379 396]
2024-11-18 17:05:40,person,32.05,[  12  159 1148  548]
2024-11-18 17:05:40,chair,31.54,[630 490 256 217]
2024-11-18 17:05:40,person,70.36,[ 10 291 862 423]
2024-11-18 17:05:40,chair,55.34,[727 532 165 186]
2024-11-18 17:05:40,person,42.71,[1046  560  234  151]
2024-11-18 17:05:40,refrigerator,40.75,[  9 286 245 414]
2024-11-18 17:05:40,chair,38.74,[775 511 146 209]
2024-11-18 17:05:40,chair,37.27,[497 303 377 403]
2024-11-18 17:05:40,chair,33.43,[631 491 257 217]
2024-11-18 17:05:40,person,32.9,[  12  153 1144  554]
2024-11-18 17:05:40,chair,32.01,[1013  558  252  157]
2024-11-18 17:05:40,teddy bear,31.79,[1046  560  234  151]
2024-11-18 17:05:40,refrigerator,31.33,[ 30 297 782 404]
2024-11-18 17:05:40,person,68.75,[ 10 289 859 425]
2024-11-18 17:05:40,chair,52.16,[727 527 166 190]
2024-11-18 17:05:40,chair,46.06,[502 302 372 405]
2024-11-18 17:05:40,person,42.71,[1040  564  240  153]
2024-11-18 17:05:40,refrigerator,40.66,[  8 285 245 416]
2024-11-18 17:05:40,chair,40.25,[775 512 147 208]
2024-11-18 17:05:40,chair,34.31,[ 33 285 841 435]
2024-11-18 17:05:40,chair,33.85,[1014  559  254  157]
2024-11-18 17:05:40,chair,32.95,[626 485 259 221]
2024-11-18 17:05:40,refrigerator,31.25,[ 17 292 407 407]
2024-11-18 17:05:40,cat,31.12,[ 24 283 860 437]
2024-11-18 17:05:40,refrigerator,31.11,[ 33 294 740 413]
2024-11-18 17:05:40,person,31.11,[  10  143 1145  564]
2024-11-18 17:05:40,person,68.87,[  9 287 855 427]
2024-11-18 17:05:40,chair,57.1,[724 518 170 199]
2024-11-18 17:05:40,chair,45.81,[502 299 370 414]
2024-11-18 17:05:40,refrigerator,45.75,[ 11 290 248 400]
2024-11-18 17:05:40,person,42.86,[1045  560  235  153]
2024-11-18 17:05:40,chair,42.82,[775 511 147 209]
2024-11-18 17:05:40,chair,39.63,[1014  558  253  159]
2024-11-18 17:05:40,refrigerator,34.65,[ 34 293 716 412]
2024-11-18 17:05:40,chair,34.49,[634 488 252 222]
2024-11-18 17:05:40,cat,33.13,[ 23 277 848 443]
2024-11-18 17:05:40,chair,32.82,[ 34 283 838 436]
2024-11-18 17:05:40,couch,31.22,[1017  558  262  157]
2024-11-18 17:05:40,person,30.61,[  13  134 1132  572]
2024-11-18 17:05:40,person,68.77,[  4 288 874 428]
2024-11-18 17:05:40,chair,60.97,[734 521 159 196]
2024-11-18 17:05:40,chair,45.02,[774 509 148 211]
2024-11-18 17:05:40,person,39.06,[1047  560  233  153]
2024-11-18 17:05:40,chair,35.72,[619 493 262 217]
2024-11-18 17:05:40,person,34.6,[  10  154 1164  552]
2024-11-18 17:05:40,chair,34.05,[1012  560  250  156]
2024-11-18 17:05:40,refrigerator,33.56,[ 10 285 241 414]
2024-11-18 17:05:40,teddy bear,30.2,[961 517 311 202]
2024-11-18 17:05:40,teddy bear,29.38,[1047  560  233  153]
2024-11-18 17:05:40,couch,29.26,[1015  558  262  158]
2024-11-18 17:05:41,person,69.79,[  3 287 868 428]
2024-11-18 17:05:41,chair,61.26,[730 519 164 197]
2024-11-18 17:05:41,chair,44.82,[773 508 157 212]
2024-11-18 17:05:41,refrigerator,38.01,[  7 285 244 416]
2024-11-18 17:05:41,chair,37.61,[613 495 268 214]
2024-11-18 17:05:41,person,37.48,[1047  560  231  153]
2024-11-18 17:05:41,person,33.29,[  14  147 1160  558]
2024-11-18 17:05:41,chair,32.76,[1014  559  245  157]
2024-11-18 17:05:41,person,70.56,[  5 285 860 431]
2024-11-18 17:05:41,chair,66.97,[727 521 167 193]
2024-11-18 17:05:41,chair,46.52,[769 509 157 211]
2024-11-18 17:05:41,chair,42.33,[617 500 265 210]
2024-11-18 17:05:41,refrigerator,41.55,[  6 285 247 417]
2024-11-18 17:05:41,person,38.41,[1045  560  234  153]
2024-11-18 17:05:41,chair,36.24,[1014  558  246  158]
2024-11-18 17:05:41,person,32.46,[  15  146 1152  557]
2024-11-18 17:05:41,chair,30.19,[819 511 189 207]
2024-11-18 17:05:41,couch,30.02,[1017  559  258  157]
2024-11-18 17:05:41,umbrella,29.43,[   4    9 1274  292]
2024-11-18 17:05:41,person,70.95,[  3 285 842 432]
2024-11-18 17:05:41,chair,66.58,[727 524 164 189]
2024-11-18 17:05:41,chair,43.53,[770 507 163 213]
2024-11-18 17:05:41,person,40.92,[1041  560  237  152]
2024-11-18 17:05:41,refrigerator,37.95,[ 10 292 261 393]
2024-11-18 17:05:41,chair,36.38,[626 507 256 206]
2024-11-18 17:05:41,chair,33.39,[1013  558  249  158]
2024-11-18 17:05:41,car,32.18,[249 408  72  75]
2024-11-18 17:05:41,chair,30.89,[823 511 186 205]
